Number,System,Instruction,Input,Expected Output,Generated Output,Match
11,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: The total Antarctic ice mass losses were dominated by the West Antarctic Ice Sheet, with combined West Antarctic and Peninsula annual loss rates increasing since about 2000",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The total Antarctic ice mass losses were dominated by the West Antarctic Ice Sheet, with combined West Antarctic and Peninsula annual loss rates increasing since about 2000.
Statement: There is high confidence that the frequency of hot extremes in the mid-latitude land areas has increased since the mid-20th century.
Statement: It is virtually certain that the frequency of hot extremes in the mid-latitude land areas has increased since the mid-20th century.
Statement: There is high confidence that the frequency of cold extremes in the mid-latitude land areas has decreased since the mid-20th",False
12,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Since AR5, there is strengthened evidence for an increase in the rate of GMSL rise since the mid-20th century, with an average rate of 2.3 [1.6–3.1] mm yr–1 over the period 1971–2018 increasing to 3.7 [3.2–4.2] mm yr–1 for the period 2006–2018",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Since AR5, there is strengthened evidence for an increase in the rate of GMSL rise since the mid-20th century, with an average rate of 2.3 [1.6–3.1] mm yr–1 over the period 1971–2018 increasing to 3.7 [3.2–4.2] mm yr–1 for the period 2006–2018. This is consistent with the contribution of ocean warming and loss of mass from glaciers and ice sheets.
This is a statement from the Summary for Policymakers of the IPCC WGI report. It is a statement about the rate of sea level rise.
You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mit",False
13,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: Water cycle variability and related extremes are projected to increase faster than mean changes in most regions of the world and under all emissions scenarios,medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Water cycle variability and related extremes are projected to increase faster than mean changes in most regions of the world and under all emissions scenarios.
Statement: The global mean sea level has risen by 10-20 cm since 1880 and by 3-6 mm per year during the last two decades.
Statement: The frequency of tropical cyclones has increased in some regions, and there is evidence of a decrease in other regions.
Statement: The frequency of droughts has increased in some regions, and there is evidence of a decrease in other regions.
Statement: The frequency of",False
14,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Global land precipitation has likely increased since 1950, with a faster increase since the 1980s",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Global land precipitation has likely increased since 1950, with a faster increase since the 1980s.
Statement: It is very likely that the Arctic sea ice extent will continue to shrink and the thickness will continue to decrease in the future.
Statement: It is very likely that the Arctic sea ice extent will continue to shrink and the thickness will continue to decrease in the future.
Statement: It is very likely that the Arctic sea ice extent will continue to shrink and the thickness will continue to decrease in the future.
Statement: It is very",False
15,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: The largest co-benefits are obtained with methods that seek to restore natural ecosystems or improve soil carbon sequestration,medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The largest co-benefits are obtained with methods that seek to restore natural ecosystems or improve soil carbon sequestration.
Statement: The amount of carbon dioxide in the atmosphere has increased by about 40% since the pre-industrial era.
Statement: The number of heat-related deaths in the United States has increased by about 50% since the 1960s.
Statement: The number of deaths from heat-related illnesses in India has increased by about 100% since the 1960s.
Statement:",False
16,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: For global warming up to 2°C above 1850–1900 levels, paleoclimate records do not indicate abrupt changes in the carbon cycle",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: For global warming up to 2°C above 1850–1900 levels, paleoclimate records do not indicate abrupt changes in the carbon cycle.
Statement: For global warming up to 2°C above 1850–1900 levels, paleoclimate records do indicate abrupt changes in the carbon cycle.
Statement: For global warming up to 2°C above 1850–1900 levels, paleoclimate records do not indicate abrupt changes in the carbon cycle.
Statement: For global warming up to 2°C above 1",False
17,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: At global and regional scales, near-term monsoon changes will be dominated by the effects of internal variability",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: At global and regional scales, near-term monsoon changes will be dominated by the effects of internal variability, but will be enhanced by anthropogenic warming.
Statement: Anthropogenic aerosols have a net cooling effect on the climate system.
Statement: Increases in the frequency and intensity of heavy precipitation events will occur over many parts of the globe.
Statement: It is extremely likely that global mean surface temperature will exceed 1.5°C relative to 1850–1900 in this century.
Statement:",False
18,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: It is very likely that mean temperatures have increased in all land regions and will continue to increase at rates greater than the global average,high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: It is very likely that mean temperatures have increased in all land regions and will continue to increase at rates greater than the global average.
Statement: It is very likely that the frequency and intensity of heat waves in most land regions will increase in the future.
Statement: It is very likely that the frequency and intensity of cold waves in most land regions will increase in the future.
Statement: It is very likely that the frequency and intensity of heavy precipitation events in most land regions will increase in the future.
Statement: It is very likely that the frequency and intensity of droughts in most land regions will increase",False
19,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Future projections indicate continuing decline in seasonal snow duration, glacial mass, and permafrost area by mid-century",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Future projections indicate continuing decline in seasonal snow duration, glacial mass, and permafrost area by mid-century.
Statement: Aerosols are the second largest source of uncertainty in climate change projections.
Statement: By the end of the 21st century, climate change will cause 2-3 times more people to suffer from water scarcity.
Statement: The risk of drought in the Sahel has increased since the 1980s, and will continue to increase under climate change.
Statement: Climate change will lead to an increase in the number of people",False
20,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Extreme hydrological drought frequency has increased in a region extending from south-west to north-east China, with projected increases of agricultural and ecological drought for 4°C GWL and fire weather for 2°C and above",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Extreme hydrological drought frequency has increased in a region extending from south-west to north-east China, with projected increases of agricultural and ecological drought for 4°C GWL and fire weather for 2°C and above.
Statement: The impact of climate change on the incidence and spread of malaria is likely to be positive, with the largest impacts in Africa, South Asia and Central America.
Statement: For most land-use types, including cropland, grassland and forest, the increase in mean annual temperature is projected to exceed the increase in mean annual precipitation in the 21st century, resulting in increasing aridity.
Statement: The number of heat waves is",False
21,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: Improvements in urban climate modelling and climate monitoring networks have contributed to understanding the mutual interaction between regional and urban climate,high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Improvements in urban climate modelling and climate monitoring networks have contributed to understanding the mutual interaction between regional and urban climate and climate change.
Statement: The number of days with precipitation exceeding 25 mm in the eastern Mediterranean has increased over the past 50 years.
Statement: The frequency of droughts has increased over the past 50 years in the eastern Mediterranean.
Statement: The frequency of droughts has increased over the past 50 years in the western Mediterranean.
Statement: The frequency of droughts has increased over the past",False
22,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Over the period 1982–2016, marine heatwaves have very likely doubled in frequency and are increasing in intensity",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Over the period 1982–2016, marine heatwaves have very likely doubled in frequency and are increasing in intensity.
Statement: The rate of sea level rise has increased since 1993, and is very likely to continue to increase.
Statement: The rate of sea level rise has increased since 1993, and is likely to continue to increase.
Statement: The rate of sea level rise has increased since 1993, and is very likely to continue to increase.
Statement: The rate of sea level rise has increased since 1993, and",False
23,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: Changes in ERF since the late 19th century are dominated by increases in concentrations of greenhouse gases and trends in aerosols; the net ERF is positive and changing at an increasing rate since the 1970s,high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Changes in ERF since the late 19th century are dominated by increases in concentrations of greenhouse gases and trends in aerosols; the net ERF is positive and changing at an increasing rate since the 1970s.
Note: This question is based on Figure SPM.1 in the IPCC AR6 WGI.
Statement: The risk of heat stress increases as temperatures increase.
Note: This question is based on Figure SPM.1 in the IPCC AR6 WGII.
Statement: Increasing global temperatures will increase the risk of water stress.
Note: This question is based on Figure SPM.1 in the IPCC AR6 WGIII",False
24,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850,high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850.
The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850.
The best-estimate ERF from the increase in global albedo is –0.15 W m–2 since 1700 and –0.12 W m–2 since 1850.
",False
25,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr –1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr –1 between 2006 and 2018",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The average rate of sea level rise was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971, increasing to 1.9 [0.8 to 2.9] mm yr –1 between 1971 and 2006, and further increasing to 3.7 [3.2 to 4.2] mm yr –1 between 2006 and 2018 (high confidence).
Statement: The global mean sea level has risen by 20 cm since 1880, with 15 cm of that rise occurring since 1900 (high confidence).
Statement: The global mean sea level has risen by 0.22 [0.18 to 0.27] m between 1901 and 2018 (high confidence).
Statement: The global mean sea",False
26,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Over the last century, there have been increases in species turnover within many ecosystems",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Over the last century, there have been increases in species turnover within many ecosystems.
Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Many coral reefs have experienced bleaching and mortality due to ocean warming.
Statement: The frequency and intensity of tropical cyclones has increased over the last 50 years.
Statement: The number of floods has increased over the last",False
27,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: CO2 levels during the MPWP were similar to present for a sustained period, within a range of 360–420 ppm",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: CO2 levels during the MPWP were similar to present for a sustained period, within a range of 360–420 ppm.
Statement: The 2015–2016 El Niño was the strongest on record in the observational era (since 1950).
Statement: Increasing global temperatures will lead to a decrease in the rate of sea level rise.
Statement: The global mean sea level rise rate has increased since 1993, with a rate of 3.3 mm/yr in 2014–2015",False
28,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Based on boron and carbon isotope data, supported by other proxies (Hollis et al., 2019), atmospheric CO2 during the EECO (50 Ma) was between 1150 and 2500 ppm",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Based on boron and carbon isotope data, supported by other proxies (Hollis et al., 2019), atmospheric CO2 during the EECO (50 Ma) was between 1150 and 2500 ppmv.
 Statement: Based on the evidence, the statement is true.
 Statement: Based on the evidence, the statement is false.
 Statement: Based on the evidence, the statement is true.
 Statement: Based on the evidence, the statement is false.
 Statement: Based on the evidence, the statement is true.
 Statement: Based on the evidence, the statement is false.
 Statement: Based on the evidence, the statement is true.",False
29,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Limited coverage by surface observations precludes identification of zonal trends in the SH, while observations of tropospheric column ozone indicate increases of less than 5% per decade at southern mid-latitudes",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Limited coverage by surface observations precludes identification of zonal trends in the SH, while observations of tropospheric column ozone indicate increases of less than 5% per decade at southern mid-latitudes.
Statement: The magnitude of the projected sea-level rise is comparable to that observed over the past 100 years.
Statement: There is high confidence that the increase in global average surface temperature is primarily due to human-caused emissions of greenhouse gases.
Statement: It is likely that human influence has increased the global frequency of extreme daily temperature events.
Statement: There is high confidence that the global mean sea level will continue to rise during the ",False
